;0
0;CN1CCC(CC2Cc3ccccc3C2=O)CC1
1;CN1CCC(CCCC2Cc3ccccc3C2=O)CC1
2;CC(=O)Oc1ccc(C)c([N+](C)(C)C)c1
3;c1ccc(CN2CCC(CCc3noc4cc(N5CCOCC5)ccc34)CC2)cc1
4;COc1cc2c(c(OC)c1OC)C(=O)C(C)C2
5;C[N+]1(C)CCO[C@H](O)C1
6;CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(CC)C1C2
7;CCCCSC(=O)OCC[N+](C)(C)C
8;CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCO[C@@H]1N2C
9;Nc1ccc2c(c1)c(-c1ccccc1)[n+](CCCNCCCNCCCNc1c3c(nc4ccccc14)CCCC3)c1cc(N)ccc21
10;CCc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CC[N@@+](C)([O-])[C@@H]1N2C
11;c1ccc2c[n+](CCCC[n+]3ccc4ccccc4c3)ccc2c1
12;c1ccc(CN2CCC(CCNc3cc4ccc5ccccc5c4nn3)CC2)cc1
13;CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1
14;CCOC(OCC)c1ccc(/C=C2\COC/C(=C\c3ccc(C(OCC)OCC)cc3)C2=O)cc1
15;COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
16;O=C(NCC1CCN(Cc2ccccc2)CC1)c1c(O)[nH]c2cc(O)c(O)cc2c1=O
17;CN(C)Cc1ccc(CSCCNc2nnccc2[N+](=O)[O-])o1
18;C[C@@H]([C@H]1CC[C@@]2(C)[C@@H]3CC[C@@H]4C(=CC3=CC[C@]12C)CC[C@H](N(C)C)C4(C)C)N(C)C
19;CCn1cc(CNCc2c[nH]nc2-c2ccc(-c3ccccc3)cc2)cn1
20;O=C(N/N=C/c1ccc(Cl)cc1)N1CCN(c2ccccn2)CC1
21;N#Cc1c(Cl)nc(NC2CCN(Cc3ccccc3)CC2)c(C#N)c1-c1ccccc1
22;Cc1cccc(O)c1
23;COc1cc(CNC(=O)c2ccc(CNc3c4c(nc5cc(Cl)ccc35)CC3C=C(C)CC4C3)cc2)ccc1O
24;c1ccc(CN2CCC(CCNc3cc4c(nn3)-c3ccccc3CCC4)CC2)cc1
25;CCCN1CCN(c2nccc(NC(c3ccccc3)c3ccccc3)n2)CC1
26;CN1CCN(c2nccc(NCc3cccc4ccccc34)n2)CC1
27;Nc1c2c(nc3ccccc13)CCCC2
28;COc1ccc2cc(C(=O)CCC3CC[N+](C)(Cc4ccccc4)CC3)ccc2c1
29;C/C=C1\[C@H]2C=C(C)C[C@@]1(N)c1ccc(=O)[nH]c1C2
30;CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(c2)O/C(=C\c2cccc4ccccc24)C3=O)c1
31;CCC1=CC2Cc3nc4ccccc4c(N)c3C(C1)C2
32;CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OCC1CC1
33;N#Cc1c(N)nc(NCCCCC2CCN(Cc3ccccc3)CC2)c(C#N)c1-c1ccccc1
34;CC=C(C)C(=O)N=C1CC[C@@]2(C)C(CCC3C4=CC[C@H]([C@H](C)N(C)C)[C@@]4(C)CCC32)C1=O
35;CCCCCCCNC(=O)Oc1ccc2c(c1)C1CCN(CC)C2C1
36;COc1ccc(C(=O)n2cc(/C=C3\CN(Cc4ccccc4)CCC3=O)c3ccccc32)cc1
37;CN(CCCOc1ccc2ccc(=O)oc2c1)Cc1cccc(OC(=O)NCCCCCCCN2CCOCC2)c1
38;COc1ccc(C)cc1OC
39;CC(=O)Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1
40;COc1cc2c(cc1OC)C(=O)C(CC1C=CN(Cc3ccccc3)C=C1C(C)=O)CC2
41;COc1cc2cc(C(=O)CCC3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC
42;C#CCNC(C)Cc1cccc(OC(=O)N(C)C)c1
43;C[C@H](NC=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](N(C)C)CC[C@]4(C)[C@H]3CC[C@]12C
44;C[C@]12CC[C@H](O)[C@@](C)(CO)C1C[C@H](O)[C@@]1(C)Oc3cc(-c4ccccn4)oc(=O)c3C(=O)C21
45;Oc1cc2c(ccc3c(CCC4CCN(Cc5ccccc5)CC4)[nH]oc32)n1
46;C/C=C(\C)C(=O)N[C@@H]1C=C2CC[C@H]3[C@@H]4CC[C@H]([C@H](C)N(C)C)[C@@]4(C)CC[C@@H]3[C@@]2(C)C[C@@H]1O
47;C/C=C(\C)C(=O)N[C@@H]1[C@H](OC(C)=O)[C@@H]2CC[C@H]3C4=CC[C@H]([C@H](C)N(C)C)[C@@]4(C)CC[C@@H]3[C@@]2(C)C[C@@H]1O
48;C#CCCCC[n+]1ccn(C)c1C=NO
49;C#CCN[C@H]1CCc2ccc(OC(=O)N(C)C)cc21
50;CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1N2Cc1ccccc1
51;COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2
52;CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1
53;CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Cl)c21
54;C#CCN(C)[C@@H]1CCc2ccc(OC(=O)N(C)CC)cc21
55;C/C=C1\[C@H]2C=C(C)C[C@]1(N[C@H]1OC(=O)C3=C4CC(C)(C)C[C@H]4[C@@H](C)[C@@H](O)C[C@]31OC)c1ccc(=O)[nH]c1C2
56;O=C(CCCCCCC(=O)NCCCCCCN1CC[C@H]2COc3ccccc3[C@H]21)NCCCCCCN1CC[C@H]2COc3ccccc3[C@H]21
57;CC1c2[nH]c3ccccc3c2CC(C(=O)NCCCCCCNc2c3c(nc4ccccc24)CCCC3)N1C(=O)OC(C)(C)C
58;CCCCCCCNc1c2c(nc3cc(C)ccc13)CCCC2
59;CCNC(=O)Oc1ccc2c(c1)C1(C)CCOC1O2
60;COc1cc2[se]n(-c3ccc(OCCN4CCCCC4)cc3)c(=O)c2cc1OC
61;CN1CCC(C(=O)N2C/C(=C\c3ccc(F)cc3)C(=O)[C@@]3(C2)[C@H](c2ccc(F)cc2)CN(C)[C@]32C(=O)Nc3ccccc32)[C@@]12C(=O)Nc1ccccc12
62;O=C(CCc1ccc2nc(-c3ccccc3)c3c(c2c1)OCCC3)NCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2
63;O=C(CCc1ccc2nc(-c3ccccc3)c3c(c2c1)OCCC3)NCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2
64;COc1cc2oc(-c3cccc(OCC(=O)NCCCCCCNc4c5c(nc6cc(Cl)ccc46)CCCC5)c3)cc(=O)c2c(OC)c1OC
65;OC1CCN(Cc2ccc(OCCCN3CCCCC3)cc2)CC1
66;Cc1c(N2CCN(C)CC2)nc2ccccc2c1C(=O)NCCCCCCCNc1c2c(nc3ccccc13)CCCC2
67;CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2C1c1ccc(C)cc1)CCCC3
68;COc1cccc[n+]1C
69;COc1cccc(CCCCCCCCc2cccc(OC)[n+]2C)[n+]1C
70;COc1c(F)c[n+](CCCOc2ccc3c(C)cc(=O)oc3c2)cc1F
71;COc1cc2c(cc1OC)C(=O)C(CCCCCc1cccc(OC)[n+]1C)C2
72;COc1cc2c(cc1OC)C[N+](C)(CCCCCCc1cccc(OC)[n+]1C)CC2
73;CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(c2)O/C(=C\c2ccccc2)C3=O)c1
74;CCN(CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(CC)Cc1ccccc1C(F)(F)F)Cc1ccccc1C(F)(F)F
75;CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)C2N3C)cc1
76;CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CC[N+](C)(C)C2N3C)cc1
77;C#CCCCC[n+]1ccn(COC)c1C=NO
78;O=C(C=NO)Nc1ccc[n+](CCCC[n+]2cccc(NC(=O)C=NO)c2)c1
79;O=C(C=NO)Nc1ccc[n+](CCCCCCC[n+]2cccc(NC(=O)C=NO)c2)c1
80;C#CC(C)C(C)OC[n+]1ccn(C)c1C=NO
81;O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)NCCC2
82;CN1CCCCc2ccc(C(=O)CCC3CCN(Cc4ccccc4)CC3)cc21
83;CCCN1CCCCc2ccc(C(=O)CCC3CCN(Cc4ccccc4)CC3)cc21
84;O=C(CCC1CCN(Cc2cccc(F)c2)CC1)c1ccc2c(c1)NCCCC2
85;CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C
86;COc1ccc(C(=O)c2ccc(CN(C)Cc3ccccc3)cc2)cc1
87;Nc1c2c(nc3c1CCC3)CCCC2
88;O=C(CCCC[C@@H]1CCSS1)NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2
89;COc1cc(CCC(=O)NCCCCCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC
90;COc1cc(CCC(=O)NCCCCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC
91;CC1(C)CC(=O)C2C(=Nc3nc4c(c(N)c3C2c2ccc(F)cc2)CCCC4)C1
92;CN(CCCCCCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1ccccc1[N+](=O)[O-]
93;COc1cc2oc3cc(OCCCCCCCN(C)Cc4ccccc4)ccc3c(=O)c2cc1OC
94;CN(CCCCCCCCCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1ccccc1
95;COc1ccc(NC(=S)NN=Cc2c(O)[nH]c(=S)[nH]c2=O)cc1
96;O=c1[nH]c(=S)[nH]c(O)c1C=NNC(=S)Nc1ccc(Cl)cc1
97;NC(=S)NN=Cc1c(O)[nH]c(=O)[nH]c1=O
98;COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC
99;CC1=CC2Cc3nc4cc(Cl)ccc4c(NC(=O)CCl)c3C(C1)C2
100;CC1=CC2Cc3[nH]c4cc(Cl)ccc4c(=O)c3C(C1)C2
101;CCC1=CC2Cc3nc4cc(Cl)ccc4c(Cl)c3C(C1)C2
102;CCC1=CC2Cc3nc4cc(Cl)ccc4c(NCCO)c3C(C1)C2
103;CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCl)c3C(C1)C2
104;CC1=CC2Cc3nc4ncccc4c(N)c3C(C1)C2
105;CN1CC[C@@]2(C)c3cc(OC(=O)NCCCN4CCOCC4)ccc3N(C)[C@@H]12
106;CC1CCCN(Cc2ccc(CNCCN3CCN=C3C(C#N)C#N)o2)C1
107;Cc1ccc(C(C)C)cc1O
108;COc1cc(Br)c(CN2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1OC
109;CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-n2nnnc2C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1
110;CC(C)=CCCC(C)CC=c1ccc(=O)c2[nH]c3cccc(=O)c3nc12
111;CC1(C)C=Cc2c(ccc(C(=O)C=Cc3ccc(O)cc3)c2O)O1
