Lineascelulares	BasalA	BasalB	LuminalA	LuminalB	HER2ampl
AU565_BREAST	0	0	0	0	1
BT20_BREAST	1	0	0	0	0
BT474_BREAST	0	0	0	1	0
BT483_BREAST	0	0	1	0	0
BT549_BREAST	0	1	0	0	0
CAL120_BREAST	0	1	0	0	0
CAL148_BREAST	0	0	0	1	0
CAL51_BREAST	0	1	0	0	0
CAL851_BREAST	1	0	0	0	0
CAMA1_BREAST	0	0	0	1	0
DU4475_BREAST	0	0	1	0	0
EFM19_BREAST	0	0	0	1	0
EFM192A_BREAST	0	0	0	0	1
HCC1143_BREAST	1	0	0	0	0
HCC1187_BREAST	1	0	0	0	0
HCC1419_BREAST	0	0	0	0	1
HCC1428_BREAST	0	0	1	0	0
HCC1500_BREAST	0	0	1	0	0
HCC1569_BREAST	1	0	0	0	0
HCC1599_BREAST	1	0	0	0	0
HCC1806_BREAST	1	0	0	0	0
HCC1937_BREAST	1	0	0	0	0
HCC1954_BREAST	1	0	0	0	0
HCC202_BREAST	0	0	0	0	1
HCC2157_BREAST	1	0	0	0	0
HCC2218_BREAST	0	0	0	0	1
HCC38_BREAST	1	0	0	0	0
HCC70_BREAST	1	0	0	0	0
HDQP1_BREAST	1	0	0	0	0
HMC18_BREAST	0	1	0	0	0
HS578T_BREAST	0	1	0	0	0
JIMT1_BREAST	1	0	0	0	0
KPL1_BREAST	0	0	1	0	0
MCF7_BREAST	0	0	1	0	0
MDAMB134VI_BREAST	0	0	1	0	0
MDAMB157_BREAST	0	1	0	0	0
MDAMB175VII_BREAST	0	0	0	0	1
MDAMB231_BREAST	0	1	0	0	0
MDAMB361_BREAST	0	0	0	0	1
MDAMB415_BREAST	0	0	0	1	0
MDAMB436_BREAST	0	1	0	0	0
MDAMB453_BREAST	0	0	0	1	0
SKBR3_BREAST	0	0	0	0	1
T47D_BREAST	0	0	0	1	0
UACC812_BREAST	0	0	1	0	0
UACC893_BREAST	0	0	0	0	1
ZR751_BREAST	0	0	1	0	0
ZR7530_BREAST	0	0	0	0	1
MDAMB468_BREAST	1	0	0	0	0
